NodeB_ID,Cell_Id,VS.MeanRTWP(dBm),DCH User Num,HSDPA User Num,HSDPA User Throughput (kbit/s),FACH User Num,HSUPA User Num,HSUPA User Throughput (kbit/s),PD85,FR_DROP_DL,FR_DROP_UL
1770000,1770022,-103.1521,15.8609,8.0598,769.5475,6.7963,9.1441,51.5103,1033.78,207674,6
2670000,2670011,-98.8876,2.1413,0.6377,848.7738,0.4248,1.1608,54.0152,5534.07,36,365
720000,720021,-102.6411,16.715,7.497,1126.7512,5.8595,9.8392,50.1807,855.68,42,435
1110000,1110021,-103.3984,7.0382,3.7586,1469.089,2.1054,4.8715,64.8352,549.52,2953,1548
1510000,1510013,-103.7971,3.1937,1.4567,1209.6228,0.8853,2.2257,70.1309,2932.7,5364,7
2110000,2110031,-101.8249,14.7382,9.2338,982.7541,10.6758,11.6561,58.7676,1778.1,9743,424
160000,160021,-105.7108,10.1277,8.5157,1060.6054,7.3075,8.6218,52.4463,4973.81,1232995,57928
290000,290031,-101.7174,5.0126,2.4911,1123.9517,1.6741,3.6482,64.0241,2246.85,284,318
3060000,3060012,-95.3645,9.7129,4.5852,1087.4362,3.3093,5.6755,55.4006,337.58,3924,45
1120000,1120021,-104.4848,18.462,13.6014,2068.6845,21.9518,13.5961,81.2707,558.57,16341,2289
560000,560013,-92.1427,65.9789,43.0364,105.5492,29.6252,48.725,45.1595,1605.45,51584448,105
730000,730011,-95.6802,26.9246,12.1123,503.3949,5.7733,14.9094,46.86,1266.48,0,3
1460000,1460023,-104.5384,11.5249,7.5515,1146.2059,7.9646,9.6238,63.6433,1799.19,2977242,1710
160000,160011,-96.504,44.6988,34.2432,293.9311,22.0814,35.6639,39.7652,8030.91,1232995,57928
890000,890011,-103.1759,13.1207,8.8685,2104.2356,5.1523,9.8138,83.4581,1925.55,98,16
490000,490023,-104.3608,5.9886,2.2432,624.4653,1.5197,4.2091,49.4727,23275.3,16472,355
1830000,1830012,-101.4062,11.6375,3.6529,897.3233,1.8493,7.2913,59.3415,3646.45,2444,72705
460000,460011,-94.9054,38.1029,18.7089,213.1913,6.7803,27.5232,54.9875,5481.81,22960526,27018
2570000,2570032,-104.9456,8.7326,7.1144,1777.9901,6.3577,7.5293,80.1422,738.67,2307294,7239
2960000,2960011,-104.5916,3.8865,1.7959,1141.1492,1.2944,2.9293,63.2083,13917.6,781,155
470000,470023,-102.2287,10.422,6.4318,1588.1147,6.4596,7.3532,51.3268,248.11,645,19
1900000,1900021,-105.4435,8.1974,4.7464,584.0369,3.7722,6.0152,55.5308,7170.3,35013384,6684
180000,180011,-97.7916,34.966,15.1002,450.7756,8.7478,20.9813,55.3819,1114.84,0,685
2740000,2740011,-104.9623,6.2907,3.6908,1934.4314,2.3578,5.1999,81.4387,6028.41,2887,2045
800000,800032,-101.7315,17.337,9.2841,1073.3822,7.1107,13.0133,52.9632,4078.7,4273,0
1140000,1140031,-102.7703,10.7392,5.5572,1357.7443,2.9554,6.4887,58.7066,328.8,249,193
3040000,3040033,-103.2339,20.7158,13.0719,1099.9391,9.54,15.1669,51.6941,3320.52,397,57
3310000,3310013,-98.7211,30.8072,16.4473,701.751,8.4608,21.3151,60.8286,1725.01,12679,11
1790000,1790012,-100.3434,5.8725,1.9571,1439.0789,1.3738,2.8352,69.5555,353.29,147,276
1440000,1440029,-104.8794,4.5894,2.2779,1248.5628,1.2907,2.7237,66.2545,848.12,555,319
2490000,2490012,-100.1874,10.1002,3.517,1388.7566,1.4347,6.2841,60.7469,1588.64,832,339
3320000,3320011,-93.0584,41.583,29.1181,168.8123,21.3596,33.7439,50.7931,3635.47,623,0
1560000,1560021,-104.3303,7.4064,3.6928,1574.2762,2.0459,4.8732,89.9236,862.1,0,0
710000,710023,-103.4125,18.009,12.1876,979.3593,13.9074,14.3667,52.5044,4928.15,11753,1060
